,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
PGA,0.033516221900178715,0.037854043418479234,0.40576766947850623,0.4281115845460254,0.5137524556345457,0.7822202478119911
PGV,-0.014022167752258114,0.03229881282324212,0.3834983940479998,0.3384712250763056,0.4960338704470147,0.7125190447087684
CAV,0.16412312293538125,0.032763048732961826,0.32377507392333893,0.39658429028125575,0.3384584520545718,0.6137291923634787
AI,-0.20797931680475645,0.06706995356640692,0.71473680527011,0.7770418731907968,0.7959733968000381,1.3222013545269782
Ds575,0.15779675377380858,0.029583369490638542,0.28421061941475184,0.32893991854415217,0.5273695003513441,0.6834440255798397
Ds595,0.5070266422436461,0.025433689230827693,0.26643619081054976,0.2858450734924794,0.3746713249539025,0.5413633267559499
pSA_0.010000000000,0.03635128647264593,0.037923239485360465,0.40593126946884894,0.42950808373474547,0.5123003548115621,0.7821183050320053
pSA_0.010722672220,0.03667898347511795,0.03791779282891296,0.40599140995269434,0.42937142223963787,0.5123799440655933,0.78212662035768
pSA_0.011497569954,0.03711132416113022,0.03790130697360982,0.4057334086831234,0.4291745928716039,0.5124621161721483,0.781938520984719
pSA_0.012328467394,0.037479059069663555,0.03787800779344078,0.4052614253796591,0.4289540531592128,0.5125078446626892,0.7816026442274008
pSA_0.013219411485,0.03794290405721831,0.03786383270446113,0.40476626556589945,0.42893600881451405,0.5123692352561785,0.7812452000715846
pSA_0.014174741629,0.03891973183216147,0.03789199338755152,0.40460032273801444,0.429595935232721,0.5118417097645053,0.7811760522333194
pSA_0.015199110830,0.04185170749331942,0.037897005841983196,0.40426137778411325,0.4299108477424753,0.5113325546955879,0.7808403038176754
pSA_0.016297508346,0.04520999351576103,0.037924483981422535,0.4042887164786994,0.4304361232009603,0.5110528961478085,0.7809607449093259
pSA_0.017475284000,0.04544769398237881,0.038007948371873435,0.4047767237243165,0.4317808608003883,0.5106935410710096,0.7817204108337986
pSA_0.018738174229,0.04736936635108252,0.038085556823741866,0.404978870906345,0.43315714567578467,0.5102445262128562,0.7822930878262654
pSA_0.020092330026,0.050235064856959215,0.038228887726865925,0.4051672027257468,0.43571881903146603,0.5098002823912032,0.7835226093412573
pSA_0.021544346900,0.05223753357126074,0.03834603084886502,0.40571786732541265,0.4376702318265107,0.5092236303678861,0.7845195506927806
pSA_0.023101297001,0.053713712817057786,0.03851635405760793,0.40630758024756075,0.4405967726520253,0.5083742425905167,0.78591076870564
pSA_0.024770763560,0.05416347409432706,0.03869666455994531,0.40626636560848134,0.44396090971632673,0.5075667147438871,0.7872595627217082
pSA_0.026560877829,0.05544588209168004,0.038939966902981744,0.4058280345408856,0.44860897510019193,0.5067567086876619,0.7891443264446084
pSA_0.028480358684,0.055560995498529095,0.039257122817579954,0.40519104508440473,0.45441676236934586,0.5074571389985585,0.7925825665881334
pSA_0.030538555088,0.05455133306545288,0.03947705588209914,0.4063192817461653,0.45785721058760287,0.5074032566393692,0.7951016594461476
pSA_0.032745491629,0.05019463201060769,0.03968136234597341,0.40697518249021586,0.4610266938825576,0.5086431054372261,0.7980552739904995
pSA_0.035111917342,0.04790693968479854,0.04002619930771642,0.4082933925209457,0.466483479442416,0.5093311543604804,0.8023269631335753
pSA_0.037649358068,0.043339421450481315,0.04033547004552492,0.4081018768460755,0.4720973592138857,0.5087626376280556,0.8051474895373333
pSA_0.040370172586,0.037420043152911725,0.040739469274022985,0.4079687097877192,0.4793548568703055,0.5080216478093208,0.8088915512068999
pSA_0.043287612811,0.03182071244724136,0.041239048623647426,0.40860611526632845,0.48782788314144276,0.5081329262433806,0.8143304438223847
pSA_0.046415888336,0.023707350349657,0.04155054707408851,0.40828146673428717,0.49331534789657205,0.5086547807569451,0.8177918283621527
pSA_0.049770235643,0.016410543781206433,0.04191639401265008,0.4090163889846272,0.49947215141211426,0.5080605202750017,0.821518307012312
pSA_0.053366992312,0.0070378933613721014,0.0426655893705572,0.41202541478927374,0.5111368865169894,0.5092185427349177,0.8308606281775711
pSA_0.057223676594,-0.0027782812443434904,0.0432822840266241,0.41112673646995546,0.5219551190730537,0.5103933068070003,0.8378327204164245
pSA_0.061359072734,-0.019745268847372766,0.04344838322468212,0.4137283991167497,0.5237239572687976,0.5112257169226279,0.8407197543153442
pSA_0.065793322466,-0.03713924144488836,0.04368753466833467,0.41618779623432695,0.5265199012774328,0.5141761445224157,0.8454659045588528
pSA_0.070548023107,-0.043725021406668084,0.04380202620802359,0.418551420775269,0.5273104488041033,0.5163411245267013,0.8484396019331486
pSA_0.075646332755,-0.059302428509041445,0.04383397609463305,0.4198171549154724,0.5271905920366772,0.5177711320197347,0.8498607586224354
pSA_0.081113083079,-0.07471653844292676,0.04346585455431395,0.42205952437443395,0.5199615179098389,0.5178667930153685,0.8465696885255812
pSA_0.086974900262,-0.08148552658691315,0.0433925941752334,0.4241618237380293,0.5175990678090951,0.5199264653351958,0.8474347037203315
pSA_0.093260334688,-0.08737551327335298,0.04341186195282357,0.42654357755404626,0.517095858414268,0.5192771281567918,0.8479246936895743
pSA_0.100000000000,-0.09542882161519656,0.04331659487240373,0.4254482820187985,0.515939437216803,0.5187506424032801,0.8463462486135058
pSA_0.107226722201,-0.09590170335545953,0.04276322345634844,0.42366630492245766,0.5065632853734636,0.5219484179631205,0.8417420335406866
pSA_0.114975699540,-0.09279934410013894,0.0421288774011422,0.4244423742134577,0.495130692836312,0.5220945874614135,0.8353972050905046
pSA_0.123284673944,-0.09680187434490069,0.041697636124080104,0.42437590013222165,0.48738949099464185,0.5233756728754453,0.83160418198977
pSA_0.132194114847,-0.10116126523117429,0.04146935012766597,0.4234673485073823,0.48359321144087836,0.5243603862249197,0.829542526966232
pSA_0.141747416293,-0.1062548363875186,0.041183550338345094,0.4192896421140084,0.4796880006927802,0.5283576105255128,0.8276872275159013
pSA_0.151991108295,-0.10726175794084553,0.04066634199275008,0.4202618021682084,0.46983402176526734,0.5303214323993098,0.8237747337906474
pSA_0.162975083462,-0.12002882296973377,0.0400989463432151,0.42255516120821746,0.45739487656096317,0.5393527472948434,0.82381085413001
pSA_0.174752840001,-0.12629253809738555,0.03962940078135499,0.4231520176141977,0.4479535482228544,0.5441958642066849,0.8221126139380615
pSA_0.187381742286,-0.13204386702973608,0.03899667250472685,0.41380401819655954,0.440064550969399,0.5478292219168919,0.8154798776681031
pSA_0.200923300257,-0.1353763811455974,0.038574454539179175,0.41298196416505023,0.4327263552439376,0.5481828822807822,0.8113634658240357
pSA_0.215443469003,-0.14762092801592047,0.038426965436238726,0.4141589834405232,0.42955127509160984,0.5479966569639981,0.8101495525771976
pSA_0.231012970008,-0.15434147313875335,0.03807190006413881,0.41550926021669987,0.4223797057509963,0.5485383713138907,0.8074322918733331
pSA_0.247707635599,-0.16224224305429144,0.03763512395011899,0.41861755941098927,0.41298442771196814,0.5481631449170525,0.8039151895723506
pSA_0.265608778295,-0.1746407645993208,0.03704885357803954,0.42257806631185313,0.4001476298040883,0.5486779669603011,0.7998361452156211
pSA_0.284803586844,-0.1816833233072146,0.037109433213002946,0.4285144861466344,0.39867164746566075,0.5470467917556995,0.8011391512719259
pSA_0.305385550883,-0.1934025005539544,0.03760113817755813,0.4279719540992638,0.4080278841435393,0.5476390017364017,0.8059498892344601
pSA_0.327454916288,-0.2161146463481612,0.0378153318271601,0.42814293588213,0.4124766597594063,0.5441981939595198,0.8059745918457044
pSA_0.351119173422,-0.22061371157502863,0.03713885229089641,0.42339889937665587,0.4025787475251226,0.5415506633159336,0.7966262592271157
pSA_0.376493580679,-0.23079421871680914,0.03612407013943113,0.4185924185248739,0.3860350005285419,0.5407498310990154,0.7852725732592399
pSA_0.403701725860,-0.24447754191221172,0.035733314006783916,0.4124702702192131,0.38226213143151105,0.5372175018835564,0.7777266263098375
pSA_0.432876128108,-0.2536405424144144,0.03534522977490511,0.4001835709302139,0.38149539891644535,0.5337917219837142,0.7685175549687946
pSA_0.464158883361,-0.2654041928007033,0.03541699059198635,0.4002425880865912,0.38336855706465506,0.5303084848344054,0.7670675778257422
pSA_0.497702356433,-0.2768651219767347,0.03556598379313044,0.40020322774774364,0.3870782394083991,0.5245812722536533,0.7649690831154419
pSA_0.533669923121,-0.2860438661553273,0.03529391891946173,0.395256202785974,0.38591362766542847,0.5148716750115828,0.7551487506365292
pSA_0.572236765935,-0.28761450650492587,0.03556002494469168,0.39177815844261726,0.3935888110926261,0.5075078619163236,0.7523074554707494
pSA_0.613590727341,-0.2824740975721026,0.03590385260817749,0.3850112679533688,0.40363729290997197,0.5027731767676443,0.7509577937246408
pSA_0.657933224658,-0.2799769477375066,0.0356985310826953,0.37966900026574857,0.40278075276210196,0.4994479891357355,0.7455395216956163
pSA_0.705480231072,-0.2761561485759454,0.03520915295084722,0.37438976341847907,0.3971169365520475,0.49374835080421986,0.7359734982802809
pSA_0.756463327555,-0.2707311815859579,0.03543191774783602,0.3659587529160811,0.4062914431601961,0.48349449996267096,0.729907855222316
pSA_0.811130830790,-0.25387528649092983,0.03567105621281161,0.35905591183873703,0.4145780670098514,0.4755354716813128,0.7258995152906085
pSA_0.869749002618,-0.22760707875786554,0.03561521362099936,0.3590093871578202,0.415080287890381,0.4653889908571294,0.7195597947867937
pSA_0.932603346883,-0.18694183786615545,0.03497833846489825,0.36129685381787824,0.40441058535318747,0.4546626446179467,0.7076732710335967
pSA_1.000000000000,-0.1391325849476551,0.034612016524230765,0.35731795930544547,0.4010145735851189,0.44467300331602616,0.6972968465065343
pSA_1.072267222010,-0.09341469156023688,0.03419912553618962,0.3517954846717332,0.3968062595946969,0.4390144762623687,0.6884395260710091
pSA_1.149756995398,-0.04987281483649904,0.03385518427847544,0.34500022592254065,0.394717910608007,0.43071669516649636,0.6784867399857593
pSA_1.232846739442,-0.007889721788257349,0.03326369360233338,0.3401291860812906,0.38705712448937724,0.42520764805035033,0.668058848308154
pSA_1.321941148466,0.016903251395473957,0.03282180362275629,0.3341100698086548,0.3822383570783459,0.4216087592917231,0.6599163934022274
pSA_1.417474162927,0.03641226231600722,0.032579427495109226,0.32646790597620423,0.38189725146013853,0.41586564145978266,0.6522047500992709
pSA_1.519911082953,0.038819265700931936,0.03228757170252926,0.32025238953174906,0.3797753134753637,0.41228537280544914,0.6455773465321054
pSA_1.629750834621,0.0331472869937757,0.03221433213233939,0.32024720201469153,0.3792352894165718,0.40703950293840685,0.6419180883021252
pSA_1.747528400008,0.024485127039538635,0.03226877447726414,0.32066227400704844,0.3804073212385976,0.4043106170275701,0.6410936741729023
pSA_1.873817422860,0.010660105166142787,0.03220905079023455,0.3227300551896086,0.3784238915701283,0.40508615016480193,0.6414468951434004
pSA_2.009233002565,-2.647359280854524e-05,0.03208661861549542,0.3250071738735211,0.3754212610092014,0.4045836317460204,0.6405144037129779
pSA_2.154434690032,-0.01016739598559023,0.031551460797068165,0.328638685886402,0.36454167783197916,0.403912734308526,0.635641028941875
pSA_2.310129700083,-0.02025266734906803,0.031215312362944458,0.3329240244744283,0.35696768453065414,0.40212862330921467,0.6324332087706895
pSA_2.477076355992,-0.031543624790283345,0.03071762955870507,0.3334662719163134,0.3480810664110089,0.40001770148858135,0.6263979125155172
pSA_2.656087782947,-0.03778884957682048,0.030440078315094665,0.33258178026075547,0.3439214906097664,0.3968674461837895,0.6216079167007931
pSA_2.848035868436,-0.0352846772816355,0.030310118082346484,0.33414052143247563,0.3414034899820069,0.3932691905041346,0.6187623835001917
pSA_3.053855508833,-0.030164822941865194,0.030052302767718312,0.3319170423077772,0.33776757839646065,0.3929453251448563,0.6153550914255514
pSA_3.274549162878,-0.0207554136094774,0.029535249098156746,0.3294800330789375,0.3295558731435663,0.3922095282593446,0.6090915200349892
pSA_3.511191734215,-0.01331189519368192,0.028657855023227322,0.32611410567561633,0.3154188560142834,0.38942477657517993,0.5979056123340833
pSA_3.764935806792,-0.007591858711848702,0.028090810971235374,0.321254377505712,0.3074639829296675,0.3878741621696593,0.5900718952334305
pSA_4.037017258597,-0.0034724881295487005,0.027574412052414503,0.31926678192560226,0.2989598045211145,0.38690515314472895,0.5839553410068096
pSA_4.328761281083,0.004487450106162012,0.026986348914506703,0.3177174067051657,0.288786558311886,0.38626960512731306,0.5775346176899618
pSA_4.641588833613,0.014107563942631704,0.026693400369872115,0.3174646341589153,0.28383208329013515,0.38345191443285354,0.5730443404560354
pSA_4.977023564332,0.018459054590217818,0.026263896123295178,0.31617984572189295,0.2767794269640283,0.3806274106696371,0.5669689337030103
pSA_5.336699231206,0.023784145410015833,0.026012046962827398,0.3148538315087858,0.2730229181462705,0.378353478779834,0.5628728133012557
pSA_5.722367659350,0.029534655398730653,0.02578882476938732,0.31259281856383964,0.26972028962056716,0.3795355807873606,0.5608124124288685
pSA_6.135907273413,0.03494319275568263,0.02563434076476728,0.3111437790993214,0.2672554533148796,0.3810508723137436,0.5598532806814782
pSA_6.579332246576,0.04153126006408142,0.025659441347889667,0.3105159754994722,0.2679580358712568,0.3816807345529411,0.5602694558489185
pSA_7.054802310719,0.047660583750892216,0.02596006908100972,0.31278952313680053,0.2727626372271552,0.3803455675031633,0.5629382672820912
pSA_7.564633275546,0.05653209131167595,0.026135089160252936,0.3165702432055027,0.2742751866759378,0.3796701129389682,0.5653255624579526
pSA_8.111308307897,0.06736812046606107,0.026159982534150233,0.3178771252452443,0.27388704745824066,0.38081688973448174,0.5666405254009086
pSA_8.697490026178,0.07652642956718787,0.026237499442934367,0.318632913128121,0.2746557137731251,0.38278889631668345,0.5687618425844706
pSA_9.326033468832,0.088765356477391,0.026430856995868432,0.32084579415448017,0.2769511590790427,0.3843907589968847,0.5721889755526974
pSA_10.000000000000,0.10194212357609561,0.026838084870321344,0.32447401997531544,0.28262410272976085,0.38588700608989895,0.5779866387311817
